罪種,認知件数_2025,認知件数_2024,増減,増減率
刑法犯総数,,709385.0,678008.0,31377.0
凶悪犯,,6688.0,6442.0,246.0
凶悪犯,,919.0,897.0,22.0
凶悪犯,,1320.0,1257.0,63.0
凶悪犯,,630.0,679.0,-49.0
凶悪犯,,3819.0,3609.0,210.0
粗暴犯,,56541.0,53053.0,3488.0
粗暴犯,,22.0,13.0,9.0
粗暴犯,,28579.0,26943.0,1636.0
粗暴犯,,21344.0,20371.0,973.0
粗暴犯,,45.0,62.0,-17.0
粗暴犯,,4731.0,4184.0,547.0
粗暴犯,,1865.0,1542.0,323.0
窃盗犯,,472771.0,461820.0,10951.0
窃盗犯,,43770.0,39299.0,4471.0
窃盗犯,,178646.0,177432.0,1214.0
窃盗犯,,250355.0,245089.0,5266.0
知能犯,,69370.0,55964.0,13406.0
知能犯,,64872.0,51710.0,13162.0
知能犯,,2296.0,2146.0,150.0
知能犯,,1995.0,1916.0,79.0
知能犯,,281.0,276.0,5.0
知能犯,,1584.0,1551.0,33.0
知能犯,,4.0,11.0,-7.0
知能犯,,90.0,35.0,55.0
知能犯,,72.0,95.0,-23.0
知能犯,,33.0,30.0,3.0
知能犯,,0.0,0.0,0.0
知能犯,,135.0,97.0,38.0
風俗犯,,18540.0,17050.0,1490.0
風俗犯,,328.0,240.0,88.0
風俗犯,,9049.0,9108.0,-59.0
風俗犯,,6564.0,6481.0,83.0
風俗犯,,2101.0,2145.0,-44.0
風俗犯,,144.0,139.0,5.0
風俗犯,,9163.0,7702.0,1461.0
その他の刑法犯,,85475.0,83679.0,1796.0
その他の刑法犯,,13527.0,13183.0,344.0
その他の刑法犯,,2014.0,1955.0,59.0
その他の刑法犯,,10022.0,9431.0,591.0
その他の刑法犯,,323.0,268.0,55.0
その他の刑法犯,,553.0,545.0,8.0
その他の刑法犯,,997.0,886.0,111.0
その他の刑法犯,,48643.0,49501.0,-858.0
第２表,,,,
窃盗総数,,472771.0,461820.0,10951.0
侵入盗,,43770.0,39299.0,4471.0
侵入盗,,10736.0,10080.0,656.0
侵入盗,,4537.0,3755.0,782.0
侵入盗,,651.0,763.0,-112.0
侵入盗,,5.0,8.0,-3.0
侵入盗,,684.0,692.0,-8.0
侵入盗,,158.0,248.0,-90.0
侵入盗,,56.0,61.0,-5.0
侵入盗,,463.0,284.0,179.0
侵入盗,,172.0,208.0,-36.0
侵入盗,,65.0,48.0,17.0
侵入盗,,2437.0,2700.0,-263.0
侵入盗,,3812.0,4017.0,-205.0
侵入盗,,513.0,558.0,-45.0
侵入盗,,594.0,451.0,143.0
侵入盗,,3747.0,3967.0,-220.0
侵入盗,,15140.0,11459.0,3681.0
乗り物盗,,178646.0,177432.0,1214.0
乗り物盗,,6012.0,5574.0,438.0
乗り物盗,,13348.0,10668.0,2680.0
乗り物盗,,159286.0,161190.0,-1904.0
非侵入盗,,250355.0,245089.0,5266.0
非侵入盗,,1038.0,1095.0,-57.0
非侵入盗,,1.0,5.0,-4.0
非侵入盗,,3.0,21.0,-18.0
非侵入盗,,677.0,765.0,-88.0
非侵入盗,,778.0,915.0,-137.0
非侵入盗,,6834.0,7145.0,-311.0
非侵入盗,,6.0,1.0,5.0
非侵入盗,,3.0,3.0,0.0
非侵入盗,,6.0,2.0,4.0
非侵入盗,,280.0,314.0,-34.0
非侵入盗,,119.0,134.0,-15.0
非侵入盗,,359.0,348.0,11.0
非侵入盗,,439.0,523.0,-84.0
非侵入盗,,1432.0,1302.0,130.0
非侵入盗,,9275.0,9329.0,-54.0
非侵入盗,,3109.0,2890.0,219.0
非侵入盗,,20776.0,21289.0,-513.0
非侵入盗,,14077.0,13562.0,515.0
非侵入盗,,1419.0,1404.0,15.0
非侵入盗,,2569.0,2239.0,330.0
非侵入盗,,3654.0,3760.0,-106.0
非侵入盗,,4643.0,5038.0,-395.0
非侵入盗,,96231.0,90052.0,6179.0
非侵入盗,,8541.0,8287.0,254.0
非侵入盗,,655.0,629.0,26.0
非侵入盗,,2705.0,2568.0,137.0
非侵入盗,,70726.0,71469.0,-743.0
第３表,,,,
総数,,709385.0,678008.0,31377.0
北海道,,22534.0,21118.0,1416.0
北海道,,16547.0,15473.0,1074.0
北海道,,1591.0,1527.0,64.0
北海道,,1839.0,1720.0,119.0
北海道,,1861.0,1709.0,152.0
北海道,,696.0,689.0,7.0
東北,,31071.0,31132.0,-61.0
東北,,4306.0,4083.0,223.0
東北,,3074.0,3135.0,-61.0
東北,,10351.0,10542.0,-191.0
東北,,2422.0,2367.0,55.0
東北,,2973.0,2844.0,129.0
東北,,7945.0,8161.0,-216.0
東京都,,90334.0,86619.0,3715.0
関東,,210617.0,202265.0,8352.0
関東,,17665.0,19485.0,-1820.0
関東,,11679.0,11143.0,536.0
関東,,14198.0,13382.0,816.0
関東,,49066.0,47212.0,1854.0
関東,,36561.0,35361.0,1200.0
関東,,45750.0,41741.0,4009.0
関東,,8917.0,8782.0,135.0
関東,,2993.0,3159.0,-166.0
関東,,7406.0,7064.0,342.0
関東,,16382.0,14936.0,1446.0
中部,,86321.0,80360.0,5961.0
中部,,4920.0,4582.0,338.0
中部,,4849.0,5006.0,-157.0
中部,,2931.0,2634.0,297.0
中部,,11893.0,11067.0,826.0
中部,,51944.0,46965.0,4979.0
中部,,9784.0,10106.0,-322.0
近畿,,142211.0,137674.0,4537.0
近畿,,7830.0,7414.0,416.0
近畿,,11284.0,11033.0,251.0
近畿,,77279.0,75117.0,2162.0
近畿,,36487.0,34660.0,1827.0
近畿,,5726.0,5700.0,26.0
近畿,,3605.0,3750.0,-145.0
