地域カテゴリ,事故カテゴリ,発生件数
門司区,高齢者,7.0
若松区,高齢者,7.0
戸畑区,高齢者,7.0
小倉北区,高齢者,21.0
小倉南区,高齢者,20.0
八幡東区,高齢者,5.0
八幡西区,高齢者,16.0
東区,高齢者,26.0
博多区,高齢者,25.0
中央区,高齢者,24.0
南区,高齢者,13.0
西区,高齢者,15.0
城南区,高齢者,7.0
早良区,高齢者,12.0
大牟田市,高齢者,14.0
久留米市,高齢者,26.0
直方市,高齢者,7.0
飯塚市,高齢者,14.0
田川市,高齢者,5.0
柳川市,高齢者,4.0
八女市,高齢者,5.0
筑後市,高齢者,11.0
大川市,高齢者,3.0
行橋市,高齢者,10.0
豊前市,高齢者,1.0
中間市,高齢者,6.0
小郡市,高齢者,5.0
筑紫野市,高齢者,11.0
春日市,高齢者,11.0
大野城市,高齢者,6.0
宗像市,高齢者,10.0
太宰府市,高齢者,6.0
古賀市,高齢者,8.0
福津市,高齢者,8.0
うきは市,高齢者,4.0
宮若市,高齢者,6.0
嘉麻市,高齢者,3.0
朝倉市,高齢者,4.0
みやま市,高齢者,1.0
糸島市,高齢者,8.0
那珂川市,高齢者,5.0
門司区,こども,0.0
若松区,こども,0.0
戸畑区,こども,2.0
小倉北区,こども,2.0
小倉南区,こども,4.0
八幡東区,こども,1.0
八幡西区,こども,2.0
東区,こども,2.0
博多区,こども,0.0
中央区,こども,1.0
南区,こども,1.0
西区,こども,3.0
城南区,こども,0.0
早良区,こども,2.0
大牟田市,こども,0.0
久留米市,こども,3.0
直方市,こども,1.0
飯塚市,こども,1.0
田川市,こども,0.0
柳川市,こども,1.0
八女市,こども,0.0
筑後市,こども,2.0
大川市,こども,0.0
行橋市,こども,0.0
豊前市,こども,0.0
中間市,こども,1.0
小郡市,こども,1.0
筑紫野市,こども,1.0
春日市,こども,3.0
大野城市,こども,0.0
宗像市,こども,0.0
太宰府市,こども,0.0
古賀市,こども,1.0
福津市,こども,1.0
うきは市,こども,1.0
宮若市,こども,0.0
嘉麻市,こども,0.0
朝倉市,こども,1.0
みやま市,こども,0.0
糸島市,こども,0.0
那珂川市,こども,2.0
門司区,自転車,0.0
若松区,自転車,1.0
戸畑区,自転車,2.0
小倉北区,自転車,9.0
小倉南区,自転車,7.0
八幡東区,自転車,1.0
八幡西区,自転車,3.0
東区,自転車,13.0
博多区,自転車,18.0
中央区,自転車,20.0
南区,自転車,8.0
西区,自転車,8.0
城南区,自転車,6.0
早良区,自転車,12.0
大牟田市,自転車,3.0
久留米市,自転車,10.0
直方市,自転車,1.0
飯塚市,自転車,2.0
田川市,自転車,1.0
柳川市,自転車,4.0
八女市,自転車,2.0
筑後市,自転車,6.0
大川市,自転車,1.0
行橋市,自転車,1.0
豊前市,自転車,0.0
中間市,自転車,1.0
小郡市,自転車,1.0
筑紫野市,自転車,6.0
春日市,自転車,8.0
大野城市,自転車,7.0
宗像市,自転車,4.0
太宰府市,自転車,3.0
古賀市,自転車,2.0
福津市,自転車,5.0
うきは市,自転車,2.0
宮若市,自転車,0.0
嘉麻市,自転車,2.0
朝倉市,自転車,1.0
みやま市,自転車,0.0
糸島市,自転車,2.0
那珂川市,自転車,5.0
門司区,歩行者,3.0
若松区,歩行者,2.0
戸畑区,歩行者,5.0
小倉北区,歩行者,16.0
小倉南区,歩行者,8.0
八幡東区,歩行者,1.0
八幡西区,歩行者,5.0
東区,歩行者,17.0
博多区,歩行者,19.0
中央区,歩行者,20.0
南区,歩行者,5.0
西区,歩行者,6.0
城南区,歩行者,4.0
早良区,歩行者,7.0
大牟田市,歩行者,5.0
久留米市,歩行者,8.0
直方市,歩行者,3.0
飯塚市,歩行者,5.0
田川市,歩行者,2.0
柳川市,歩行者,1.0
八女市,歩行者,1.0
筑後市,歩行者,1.0
大川市,歩行者,0.0
行橋市,歩行者,5.0
豊前市,歩行者,0.0
中間市,歩行者,3.0
小郡市,歩行者,2.0
筑紫野市,歩行者,5.0
春日市,歩行者,6.0
大野城市,歩行者,4.0
宗像市,歩行者,4.0
太宰府市,歩行者,4.0
古賀市,歩行者,0.0
福津市,歩行者,1.0
うきは市,歩行者,1.0
宮若市,歩行者,2.0
嘉麻市,歩行者,0.0
朝倉市,歩行者,2.0
みやま市,歩行者,0.0
糸島市,歩行者,6.0
那珂川市,歩行者,1.0
