第１表,,,,刑法犯　罪種別　認知・検挙件数・検挙人員　対前年比較,,,,,,,,,,,,,,,暫定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,２０２６年２月１日確定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙率,検挙率,検挙率,検挙人員,検挙人員,検挙人員,検挙人員,"検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,罪種,"2025年
1～11月","2024年
1～11月",増減,増減率(％）,"2025年
1～11月","2024年
1～11月",増減,増減率(％),"2025年
1～11月","2024年
1～11月",増減ポイント,"2025年
1～11月","2024年
1～11月",増減,増減率(％),"2025年
1～11月","2024年
1～11月",増減,増減率(％),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刑法犯総数,,709385,678008,31377,4.6,275988,263151,12837,4.9,38.9,38.8,0.1,182883,175630,7253,4.1,21929,19475,2454,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凶悪犯,計,6688,6442,246,3.8,5970,5710,260,4.6,89.3,88.6,0.7,5959,5685,274,4.8,785,702,83,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凶悪犯,殺人,919,897,22,2.5,874,866,8,0.9,95.1,96.5,-1.4,801,845,-44,-5.2,52,49,3,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凶悪犯,強盗,1320,1257,63,5,1220,1160,60,5.2,92.4,92.3,0.1,1641,1572,69,4.4,434,382,52,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凶悪犯,放火,630,679,-49,-7.2,519,589,-70,-11.9,82.4,86.7,-4.3,453,463,-10,-2.2,29,28,1,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凶悪犯,不同意性交等,3819,3609,210,5.8,3357,3095,262,8.5,87.9,85.8,2.1,3064,2805,259,9.2,270,243,27,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
粗暴犯,計,56541,53053,3488,6.6,45244,43905,1339,3,80,82.8,-2.8,46691,45461,1230,2.7,4121,3573,548,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
粗暴犯,凶器準備集合,22,13,9,69.2,22,10,12,120,100,76.9,23.1,108,21,87,414.3,74,8,66,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
粗暴犯,暴行,28579,26943,1636,6.1,22955,22486,469,2.1,80.3,83.5,-3.2,22921,22675,246,1.1,969,960,9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
粗暴犯,傷害,21344,20371,973,4.8,17178,16891,287,1.7,80.5,82.9,-2.4,19091,18521,570,3.1,2324,2023,301,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
粗暴犯,傷害　うち）傷害致死,45,62,-17,-27.4,43,58,-15,-25.9,95.6,93.5,2.1,53,75,-22,-29.3,5,4,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
粗暴犯,脅迫,4731,4184,547,13.1,3840,3424,416,12.1,81.2,81.8,-0.6,3178,2998,180,6,254,207,47,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
粗暴犯,恐喝,1865,1542,323,20.9,1249,1094,155,14.2,67,70.9,-3.9,1393,1246,147,11.8,500,375,125,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
